6308
245	1 46	1 49	1 16	1 19	0.049355675
246	1 46	1 49	1 19	1 22	0.008074291
247	1 46	1 49	1 25	1 28	-0.049029587
248	1 46	1 49	1 28	1 31	-0.055731188
249	1 46	1 49	1 2	1 5	0.013037699
250	1 46	1 49	1 5	1 8	0.016055895
251	1 46	1 49	1 8	1 11	0.017961746
252	1 46	1 49	1 11	1 14	0.064092929
253	1 46	1 49	1 14	1 17	0.152426124
254	1 46	1 49	1 17	1 20	0.024297802
255	1 46	1 49	1 20	1 23	0.004794594
256	1 46	1 49	1 26	1 29	-0.041473235
257	1 46	1 49	1 29	1 32	-0.057139569
258	1 46	1 49	1 3	1 6	0.012922381
259	1 46	1 49	1 6	1 9	0.017994963
260	1 46	1 49	1 9	1 12	0.020449748
261	1 46	1 49	1 12	1 15	0.132194
262	1 46	1 49	1 15	1 18	0.090216939
263	1 46	1 49	1 18	1 21	0.013703884
264	1 46	1 49	1 21	1 24	0.009120341
265	1 46	1 49	1 27	1 30	-0.052810237
266	1 46	1 49	1 30	1 33	-0.069202638
267	1 46	1 49	1 31	1 34	-0.095035603
268	1 46	1 49	1 34	1 37	-0.310254685
269	1 46	1 49	1 37	1 40	-0.088095538
270	1 46	1 49	1 40	1 43	-0.320683178
271	1 46	1 49	1 43	1 32	0.795794612
272	1 46	1 49	1 32	1 35	-0.179435964
273	1 46	1 49	1 35	1 38	-0.236186451
274	1 46	1 49	1 38	1 41	-0.099918703
275	1 46	1 49	1 41	1 44	-0.65306337
276	1 46	1 49	1 44	1 47	-1.286203622
277	1 46	1 49	1 33	1 36	-0.283810978
278	1 46	1 49	1 36	1 39	-0.124664777
279	1 46	1 49	1 39	1 42	-0.171205225
280	1 46	1 49	1 42	1 45	-2.14303062
281	1 46	1 49	1 45	1 48	1.426979905
282	1 46	1 49	1 48	1 51	3.562013793
283	1 46	1 49	1 51	1 54	-1.4811383345
284	1 46	1 49	1 54	1 57	-0.4316743035
285	1 46	1 49	1 57	1 60	-0.5410149209999999
286	1 46	1 49	1 60	1 63	-0.06930686650000001
287	1 46	1 49	1 47	1 50	6.577453039
288	1 46	1 49	1 50	1 53	-3.170202327
289	1 46	1 49	1 53	1 56	-0.4710535675
290	1 46	1 49	1 56	1 59	-0.6336089125
291	1 46	1 49	1 59	1 62	-0.120668656
292	1 46	1 49	1 62	1 65	-0.0522253565
293	1 46	1 49	1 65	1 68	-0.037059928500000006
294	1 46	1 49	1 68	1 71	-0.021994055999999998
295	1 46	1 49	1 71	1 2	0.0676952505
296	1 46	1 49	1 52	1 55	-0.8411529935
297	1 46	1 49	1 55	1 58	-0.5304661545
298	1 46	1 49	1 58	1 61	-0.3413212065
299	1 46	1 49	1 61	1 64	-0.0558908025
300	1 46	1 49	1 64	1 67	-0.0407527295
301	1 46	1 49	1 67	1 70	-0.0362273195
302	1 46	1 49	1 70	1 1	0.0654447705
303	1 46	1 49	1 1	1 63	0.028450225
304	1 46	1 49	1 63	1 66	-0.048427873999999996
305	1 46	1 49	1 66	1 69	-0.037479807500000004
306	1 46	1 49	1 69	1 72	-0.0085901575
307	1 46	1 49	1 72	1 3	0.071874873
308	1 47	1 50	1 1	1 4	0.011957892
309	1 47	1 50	1 4	1 7	0.015341721
310	1 47	1 50	1 7	1 10	0.019037877
311	1 47	1 50	1 10	1 13	0.029313943
312	1 47	1 50	1 13	1 16	0.16717098
313	1 47	1 50	1 16	1 19	0.049422152
314	1 47	1 50	1 19	1 22	0.007208951
315	1 47	1 50	1 25	1 28	-0.03724493
316	1 47	1 50	1 28	1 31	-0.051586504
317	1 47	1 50	1 2	1 5	0.014971345
318	1 47	1 50	1 5	1 8	0.017481925
319	1 47	1 50	1 8	1 11	0.018612169
320	1 47	1 50	1 14	1 17	0.153955371
321	1 47	1 50	1 17	1 20	0.023919402
322	1 47	1 50	1 20	1 23	0.002915994
323	1 47	1 50	1 26	1 29	-0.037248032
324	1 47	1 50	1 29	1 32	-0.053131995
325	1 47	1 50	1 3	1 6	0.01466375
326	1 47	1 50	1 6	1 9	0.01924162
327	1 47	1 50	1 9	1 12	0.021077331
328	1 47	1 50	1 12	1 15	0.133714691
329	1 47	1 50	1 15	1 18	0.090906299
330	1 47	1 50	1 18	1 21	0.013032494
331	1 47	1 50	1 21	1 24	0.00220338
332	1 47	1 50	1 27	1 30	-0.048716538
333	1 47	1 50	1 30	1 33	-0.06514229
334	1 47	1 50	1 31	1 34	-0.090051974
335	1 47	1 50	1 34	1 37	-0.294086865
336	1 47	1 50	1 37	1 40	-0.074013514
