5169
248	1 12	1 15	1 23	1 26	-0.2160669378151469
249	1 12	1 15	1 29	1 32	-0.0244202544327081
250	1 12	1 15	1 9	1 18	2.74282547203037
251	1 12	1 15	1 24	1 27	-0.22370562697059004
252	1 12	1 15	1 27	1 30	-0.004922042632885271
253	1 12	1 15	1 30	1 33	-0.03437644207639452
254	1 12	1 15	1 36	1 39	-0.01461777883131235
255	1 12	1 15	1 31	1 34	-0.034305675769081403
256	1 12	1 15	1 40	1 43	-0.006141190203067583
257	1 12	1 15	1 46	1 49	0.1559187241152167
258	1 12	1 15	1 55	1 58	-0.060842162357586424
259	1 12	1 15	1 32	1 35	-0.03053865249641438
260	1 12	1 15	1 47	1 50	0.1569935877678118
261	1 12	1 15	1 59	1 62	-0.05413784938636361
262	1 12	1 15	1 42	1 45	-0.004901079964572987
263	1 12	1 15	1 48	1 51	0.15738084539827446
264	1 12	1 15	1 51	1 54	-0.031035656541616753
265	1 12	1 15	1 57	1 60	-0.06252665771809324
266	1 12	1 15	1 1	1 62	0.20077353578961407
267	1 13	1 16	1 7	1 10	-0.7382509943844449
268	1 13	1 16	1 10	1 2	0.5376517008782088
269	1 13	1 16	1 11	1 14	-2.7431897765448565
270	1 13	1 16	1 14	1 17	17.393484665242035
271	1 13	1 16	1 17	1 20	-12.260092568740841
272	1 13	1 16	1 6	1 9	-0.6479868360969199
273	1 13	1 16	1 9	1 12	-5.303991344333786
274	1 13	1 16	1 12	1 15	13.914927678051662
275	1 13	1 16	1 24	1 27	-0.3034199450106848
276	1 13	1 16	1 30	1 33	-0.03853873970409683
277	1 13	1 16	1 31	1 34	-0.03851572944102156
278	1 13	1 16	1 34	1 37	-0.01609882438789694
279	1 13	1 16	1 46	1 49	0.16600820482727457
280	1 13	1 16	1 20	1 23	-0.32612109967899183
281	1 13	1 16	1 23	1 26	-0.33134105209110076
282	1 13	1 16	1 32	1 35	-0.03403504552790566
283	1 13	1 16	1 35	1 38	-0.014175317197607649
284	1 13	1 16	1 33	1 36	-0.024109072617075573
285	1 13	1 16	1 54	1 57	-0.08664273827624056
286	1 13	1 16	1 1	1 50	-5.794590562936601
287	1 13	1 16	1 50	1 53	-0.02804179316540046
