3261
1	1 1	1 4	1 2	1 63	-0.07014719164902486
44	1 5	1 8	1 72	1 3	-2.5245430115413483
45	1 5	1 8	1 71	1 2	-1.5732480715281536
46	1 6	1 9	1 4	1 7	-2.9420409259416918
47	1 6	1 9	1 33	1 36	-0.0039729839063250725
48	1 6	1 9	1 39	1 42	-0.007747786186371555
49	1 6	1 9	1 40	1 43	-0.009760956897209207
50	1 6	1 9	1 43	1 46	-0.008973859505991985
51	1 6	1 9	1 41	1 44	-0.010981599729683692
52	1 6	1 9	1 44	1 47	-0.008316360279097837
53	1 6	1 9	1 42	1 45	-0.010728135741268522
54	1 6	1 9	1 63	1 66	-0.06786230805491249
55	1 6	1 9	1 66	1 69	-0.03948016667602855
56	1 6	1 9	1 61	1 64	-0.04332314541218017
57	1 6	1 9	1 64	1 67	-0.06418363117358494
58	1 6	1 9	1 67	1 70	-0.032052425124412566
59	1 6	1 9	1 1	1 62	0.7601288728523459
60	1 6	1 9	1 62	1 65	-0.05915545418211965
61	1 6	1 9	1 65	1 68	-0.05333985350847801
62	1 6	1 9	1 71	1 2	-1.010878944551599
63	1 7	1 10	1 67	1 64	0.05492552017268744
64	1 7	1 10	1 64	1 61	0.04109397669175356
65	1 7	1 10	1 61	1 58	0.026129367860266428
66	1 7	1 10	1 49	1 46	-0.06240199811399563
67	1 7	1 10	1 5	1 8	-3.218723813707272
68	1 7	1 10	1 11	1 14	-2.8608857400505823
69	1 7	1 10	1 14	1 17	-0.3454456297403863
70	1 7	1 10	1 15	1 18	-0.3669971518996109
71	1 7	1 10	1 22	1 25	-0.056528408522420304
72	1 7	1 10	1 31	1 34	-0.0073570769095565244
73	1 7	1 10	1 41	1 44	-0.009975691821621765
74	1 7	1 10	1 44	1 47	-0.0074304944962556236
75	1 7	1 10	1 47	1 50	0.06486737583939936
76	1 7	1 10	1 59	1 62	-0.029692475104593392
77	1 7	1 10	1 36	1 39	-0.007840949549734055
78	1 7	1 10	1 42	1 45	-0.009522915191754902
79	1 7	1 10	1 48	1 51	0.06851084956499943
80	1 7	1 10	1 60	1 63	-0.033097135305047536
81	1 7	1 10	1 46	1 62	0.04136954099001556
82	1 7	1 10	1 62	1 65	-0.05364928281637893
83	1 7	1 10	1 71	1 2	-0.615921993924581
84	1 7	1 10	1 2	1 63	0.728464153252114
85	1 7	1 10	1 63	1 66	-0.05950565599323564
86	1 7	1 10	1 66	1 69	-0.031179166633130515
87	1 7	1 10	1 72	1 3	-0.8996188919614172
88	1 8	1 11	1 4	1 7	-6.114236837859167
89	1 8	1 11	1 7	1 10	9.145086086232322
90	1 8	1 11	1 62	1 59	0.030014482472514446
91	1 8	1 11	1 3	1 6	-1.7499775608471144
92	1 8	1 11	1 35	1 38	-0.006667170585071
93	1 8	1 11	1 41	1 44	-0.0075074373884528554
94	1 8	1 11	1 34	1 37	-0.005834127280247267
95	1 8	1 11	1 40	1 43	-0.0069310475610900694
96	1 8	1 11	1 39	1 42	-0.005636702308596303
97	1 8	1 11	1 42	1 45	-0.007148569747306892
98	1 8	1 11	1 44	1 47	-0.0052486888332691235
99	1 8	1 11	1 47	1 61	0.03279260277762342
100	1 8	1 11	1 64	1 67	-0.03811518287195977
101	1 8	1 11	1 67	1 70	-0.014764259085863703
102	1 8	1 11	1 1	1 63	0.38218154690476
103	1 8	1 11	1 63	1 66	-0.04228516492707564
104	1 8	1 11	1 72	1 3	-0.5418445796785702
105	1 9	1 12	1 28	1 31	-0.0059504821855828165
106	1 9	1 12	1 5	1 8	-4.831806509361535
107	1 9	1 12	1 17	1 20	-0.35855303098159247
108	1 9	1 12	1 20	1 23	-1.2120989357525902
109	1 9	1 12	1 63	1 60	0.03162603436319542
110	1 9	1 12	1 57	1 54	0.01801640174729157
111	1 9	1 12	1 51	1 48	-0.0800791410311478
112	1 9	1 12	1 24	1 27	-0.09082242581438248
113	1 9	1 12	1 39	1 42	-0.0049370036407650735
114	1 9	1 12	1 31	1 34	-0.013879989894452525
115	1 9	1 12	1 40	1 43	-0.005789125250253244
116	1 9	1 12	1 46	1 49	0.0767948520277782
117	1 9	1 12	1 47	1 50	0.07825507476414595
118	1 9	1 12	1 59	1 62	-0.03949192891198876
119	1 9	1 12	1 48	1 61	0.007808331114730028
120	1 9	1 12	1 1	1 62	-0.03295634364955057
121	1 10	1 13	1 7	1 2	1.006622347291125
122	1 10	1 13	1 18	1 21	-0.47275502392337426
123	1 10	1 13	1 24	1 27	-0.1354055199575319
124	1 10	1 13	1 19	1 22	-0.15349947263226932
125	1 10	1 13	1 31	1 34	-0.021372808410921533
126	1 10	1 13	1 32	1 35	-0.019456908002400436
127	1 10	1 13	1 57	1 60	-0.0526559330857862
128	1 10	1 13	1 2	1 63	-0.27518568089033635
129	1 11	1 14	1 1	1 4	-1.6559461384599152
130	1 11	1 14	1 13	1 16	-2.6311264154062104
131	1 11	1 14	1 28	1 31	-0.013128417562173408
132	1 11	1 14	1 8	1 3	0.7465990789282718
133	1 11	1 14	1 21	1 24	-0.08007326219612816
134	1 11	1 14	1 32	1 35	-0.025188132740856822
135	1 11	1 14	1 24	1 27	-0.1965611584112416
136	1 11	1 14	1 51	1 54	-0.02135348961225944
137	1 11	1 14	1 31	1 34	-0.028028013780662636
138	1 11	1 14	1 46	1 49	0.13556980056475387
139	1 11	1 14	1 55	1 58	-0.05227663462398352
