a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
62,65,58,61,-58.733,26.183,0.0,-2.243173051216438,,,,-9.773843811168247,21.924423044011174,-23301,-7.889331484548919e-05,-0.00017697833898644433,-2.243261540385931,,-2.5298605155058005,-2.5346714544698714,
62,65,35,38,29.966,1767.058,0.0,0.01695813040658541,,,,-6785.840131753944,-115.07516187252409,23569,-0.028440165423887876,-0.0004755299586984528,0.016720365427236185,,0.01803672224745345,0.017847160899812302,0.0166
62,65,38,41,36.611,1767.058,0.0,0.020718618177784767,,,,-4750.088092227767,-98.4152614937092,23570,-0.020473733351774534,-0.0004198891150992666,0.020508673620235132,,,,0.31386
62,65,41,44,72.222,1767.058,0.0,0.04087132397465165,,,,-3166.7253948185116,-129.42825955038404,23571,0.001822979812978748,7.45755734179454e-05,0.040908611761360625,,0.04353201220460579,0.04354605392422644,-0.73925
62,65,47,50,-208.333,1767.058,0.0,-0.11789822405376621,,,,-1130.9733552923267,133.33975004109448,-22523,0.03471765348303272,0.004023309752050314,-0.11588656917774105,,,,
62,65,39,42,50.973,1766.008,0.0,0.028863402657292606,,,,-4174.827570770416,-120.49972919991326,-24779,0.049268078591566705,0.0013878558939120142,0.0281694747103366,,0.03134437090216247,0.030716490383816665,
62,65,42,45,65.998,1766.008,0.0,0.03737129163627798,,,,-2729.6949501191402,-102.01222605897767,23580,-0.023331201971091276,-0.0008618630031871702,0.036940360134684394,,0.040193164867050164,0.039652115377443634,-0.26082
62,65,45,48,27.956,1766.008,0.0,0.015830052864992682,,,,-1661.5534478986015,-26.302478918245725,-24357,-0.0021025519788157357,-3.331853595289758e-05,0.01584671213296913,,,,
62,65,48,51,-223.829,1766.008,0.0,-0.12674291396188467,,,,-913.8543963442296,115.82456912954675,-22597,0.018031718897922242,0.002264971928302828,-0.12561042799773325,,,,
62,65,54,57,-343.976,1766.008,0.0,-0.19477601460469035,,,,-153.58897417550094,29.915448277126778,-23023,-0.013982633195784749,-0.002742656346391037,-0.19614734277788587,,,,
62,65,57,60,-187.585,229.421,0.0,-0.8176452896639802,,,,-27.925268031909276,22.832963868894748,-23231,-0.007910143180268461,-0.006493373067256614,-0.8208919761976086,,,,
62,65,60,63,-48.161,229.421,0.0,-0.20992411331133595,,,,-31.41592653589794,6.594960521902445,-23446,-0.021925127646504356,-0.004653628681864946,-0.21225092765226844,,,,
62,65,61,64,125.574,26.053,0.0,4.819943960388438,,,,5.026548245743669,24.2276808586733,-23517,-0.0002517337056126705,-0.0012134950928022192,4.8205507079348395,,5.633178773827924,5.6273777686567,
62,65,67,70,-128.471,101.904,0.0,-1.2607061548123726,,,,-27.925268031909276,35.20555728261321,23589,0.003606891531741499,0.004555445853342999,-1.262983877739044,,-1.1206662105894376,-1.1313228063949192,-0.16843
62,65,70,1,-69.25,101.904,0.0,-0.679561155597425,,,,-82.92615091017275,56.35339094176345,23590,0.009117000422113525,0.006223931133820804,-0.6826731211643354,,-0.6291838751361897,-0.6246590696481173,-0.67314
62,65,1,63,-158.403,101.904,0.0,-1.554433584550165,,,,-12.585713411610623,19.563655612530987,0,,,-1.554433584550165,,-1.523314836867932,-1.523314836867932,-0.06675
62,65,63,66,501.628,101.904,0.0,4.922554561155597,,,,5.026548245743669,24.743457993954163,23592,0.002325413901030427,0.011460301777623805,4.928284712044409,,5.3822602849638095,5.409354983851028,-0.56584
62,65,66,69,-251.464,101.904,0.0,-2.467655832940807,,,,-9.773843811168247,24.118482690881734,23593,0.002966776141988843,0.007331858443161199,-2.471321762162388,,-3.04502495755948,-3.080889120028303,-0.58075
62,65,72,3,-41.242,101.904,0.0,-0.4047142408541372,,,,-143.85483098680305,58.22009871602421,23595,-0.021163348638324628,-0.00847542439740101,-0.4004765286554367,,-0.39658448830668663,-0.388050744123675,0.23637
62,65,68,71,-63.382,80.464,0.0,-0.7877063034400477,,,,-56.54866776461626,44.54374204932526,23596,-0.04729133184473134,-0.03639118635705252,-0.7695107102615214,,,,-0.08781
62,65,71,2,-42.063,80.464,0.0,-0.5227555179956254,,,,-111.50441531051098,58.2895483844455,23597,-0.004553221980548445,-0.0023748153841871567,-0.5215681103035318,,-0.5019031368946056,-0.5044937585056727,-0.53929
63,66,4,7,-81.659,1846.992,0.0,-0.044211886137027125,,,,-71505.44132250796,3161.3904299285964,-36673,0.007735839983424478,0.000340698282822155,-0.04404153699561605,,-0.04878378162265512,-0.04872726387658184,
63,66,7,10,-82.687,1846.992,0.0,-0.0447684667827473,,,,-61125.61919504549,2736.5002525082546,-36460,0.0023187952165161464,0.00010368869020716681,-0.04471662243764371,,-0.04973088425268627,-0.04991535379226883,
63,66,28,31,-12.595,1846.992,0.0,-0.006819195751795352,,,,-14856.242592975721,101.3076263776612,-25558,0.024492583437788835,0.0001649990938923044,-0.0067366962048492,,-0.007945533602597157,-0.0078105961799230725,
