x,y,z,label,buried,remote
10.981099999975411,14.8562000002712,-8.0,55,True,False
10.981099999975411,14.8562000002712,-9.0,56,True,False
10.981099999975411,14.8562000002712,-10.0,57,True,False
10.981099999975411,14.8562000002712,-11.0,58,True,False
10.981099999975411,14.8562000002712,-12.0,59,True,False
10.981099999975411,14.8562000002712,-13.0,60,True,False
10.981099999975411,14.8562000002712,-14.0,61,True,False
10.981099999975411,14.8562000002712,-15.0,62,True,False
10.981099999975411,14.8562000002712,-16.0,63,True,False
10.981099999975411,14.8562000002712,-17.0,64,True,False
10.981099999975411,14.8562000002712,-18.0,65,True,False
10.981099999975411,14.8562000002712,-19.0,66,True,False
10.981099999975411,14.8562000002712,-20.0,67,True,False
10.981099999975411,14.8562000002712,-21.0,68,True,False
10.981099999975411,14.8562000002712,-22.0,69,True,False
10.981099999975411,14.8562000002712,-23.0,70,True,False
10.981099999975411,14.8562000002712,-24.0,71,True,False
10.981099999975411,14.8562000002712,-25.0,72,True,False
26.8521999999648,17.852900000289083,-2.0,73,False,False
26.8521999999648,17.852900000289083,-3.0,74,True,False
26.8521999999648,17.852900000289083,-4.0,75,True,False
26.8521999999648,17.852900000289083,-5.0,76,True,False
26.8521999999648,17.852900000289083,-6.0,77,True,False
26.8521999999648,17.852900000289083,-7.0,78,True,False
26.8521999999648,17.852900000289083,-8.0,79,True,False
26.8521999999648,17.852900000289083,-9.0,80,True,False
26.8521999999648,17.852900000289083,-10.0,81,True,False
26.8521999999648,17.852900000289083,-11.0,82,True,False
26.8521999999648,17.852900000289083,-12.0,83,True,False
26.8521999999648,17.852900000289083,-13.0,84,True,False
26.8521999999648,17.852900000289083,-14.0,85,True,False
26.8521999999648,17.852900000289083,-15.0,86,True,False
26.8521999999648,17.852900000289083,-16.0,87,True,False
26.8521999999648,17.852900000289083,-17.0,88,True,False
26.8521999999648,17.852900000289083,-18.0,89,True,False
26.8521999999648,17.852900000289083,-19.0,90,True,False
26.8521999999648,17.852900000289083,-20.0,91,True,False
26.8521999999648,17.852900000289083,-21.0,92,True,False
26.8521999999648,17.852900000289083,-22.0,93,True,False
26.8521999999648,17.852900000289083,-23.0,94,True,False
26.8521999999648,17.852900000289083,-24.0,95,True,False
26.8521999999648,17.852900000289083,-25.0,96,True,False
18.63619999994989,0.0,-2.0,97,False,False
18.63619999994989,0.0,-3.0,98,True,False
18.63619999994989,0.0,-4.0,99,True,False
18.63619999994989,0.0,-5.0,100,True,False
18.63619999994989,0.0,-6.0,101,True,False
18.63619999994989,0.0,-7.0,102,True,False
18.63619999994989,0.0,-8.0,103,True,False
18.63619999994989,0.0,-9.0,104,True,False
18.63619999994989,0.0,-10.0,105,True,False
18.63619999994989,0.0,-11.0,106,True,False
18.63619999994989,0.0,-12.0,107,True,False
18.63619999994989,0.0,-13.0,108,True,False
18.63619999994989,0.0,-14.0,109,True,False
18.63619999994989,0.0,-15.0,110,True,False
18.63619999994989,0.0,-16.0,111,True,False
18.63619999994989,0.0,-17.0,112,True,False
18.63619999994989,0.0,-18.0,113,True,False
18.63619999994989,0.0,-19.0,114,True,False
18.63619999994989,0.0,-20.0,115,True,False
18.63619999994989,0.0,-21.0,116,True,False
18.63619999994989,0.0,-22.0,117,True,False
18.63619999994989,0.0,-23.0,118,True,False
18.63619999994989,0.0,-24.0,119,True,False
18.63619999994989,0.0,-25.0,120,True,False
