a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0
1,4,6,9,-1631.11,810.328,0.0,-2.0129009487516165,,,,-27.925268031909276,56.210798515573366,12,-0.00969570852690479,-0.019422344198496866,-2.003189776652368,,-2.0129009487516165,-2.003189776652368
1,4,9,12,-467.163,810.328,0.0,-0.5765109930793457,,,,-153.58897417550094,88.54573202795603,-563,0.4791146573998217,0.222833474935883,-0.4650942556114042,,-0.5765109930793457,-0.4650942556114042
1,4,12,15,-647.971,810.328,0.0,-0.7996403925324067,,,,-430.04912769140304,343.8846532753726,14,-1.5538649771269786,-0.6992574046843316,-0.4500116901902409,,-0.7996403925324067,-0.4500116901902409
1,4,15,18,462.552,810.328,0.0,0.5708207047022934,,,,-913.8543963442296,-521.6470105165021,15,-1.6511869124184524,-0.5162878261510837,0.31267679162675155,,0.5708207047022934,0.31267679162675155
1,4,18,21,100.549,810.328,0.0,0.12408432141058931,,,,-1661.5534478986015,-206.17273206992292,16,-1.6226911621424165,-0.11116074912349193,0.06850394684884334,,0.12408432141058931,0.06850394684884334
1,4,21,24,109.032,810.328,0.0,0.1345529217798225,,,,-2729.6949501191402,-367.2884311061572,17,-0.10067237903708574,-0.012896597182064914,0.12810462318879004,,0.1345529217798225,0.12810462318879004
1,4,24,27,46.559,810.328,0.0,0.05745698038325221,,,,-4174.827570770416,-239.87298583721628,18,-1.045013211377912,-0.03943713830995803,0.0377384112282732,,0.05745698038325221,0.0377384112282732
1,4,27,30,1.796,810.328,0.0,0.0022163864509186404,,,,-6053.499977617167,-13.416895331026982,19,-0.5746597255751702,-0.0009893874650708635,0.0017216927183832087,,0.0022163864509186404,0.0017216927183832087
1,4,30,33,11.073,810.328,0.0,0.013664836954912087,,,,-8422.260838423801,-115.08882114880241,20,-0.7513931017324407,-0.007463611228620396,0.009933031340601889,,0.013664836954912087,0.009933031340601889
1,4,7,10,-134.699,126.26,0.0,-1.066838270236021,,,,-56.54866776461626,60.328282902154655,-421,0.11287538940138027,0.11398664188644192,-1.0098449492928,,-1.066838270236021,-1.0098449492928
1,4,10,13,-324.116,126.26,0.0,-2.5670521146839853,,,,-226.194671058465,580.653508670881,22,0.2542925666646979,0.747871331174712,-2.9409877802713416,,-2.5670521146839853,-2.9409877802713416
1,4,13,16,-790.052,126.26,0.0,-6.257341992713449,,,,-565.4866776461627,3538.443534355347,23,0.2690462452009921,1.9451869969495865,-7.229935491188241,,-6.257341992713449,-7.229935491188241
1,4,16,19,1028.057,126.26,0.0,8.142380801520671,,,,-1130.9733552923267,-9208.815735163658,24,-0.3482713327564488,-2.415187524541685,6.934787039249828,,8.142380801520671,6.934787039249828
1,4,19,22,93.086,126.26,0.0,0.7372564549342626,,,,-1979.203371761568,-1459.180461458873,-1275,0.24701526886728373,0.1620937818829602,0.6562095639927825,,0.7372564549342626,0.6562095639927825
1,4,22,25,-41.252,126.26,0.0,-0.3267226358308253,,,,-3166.7253948185116,1034.640867947515,26,0.3012081081096155,0.11586058008044675,-0.38465292587104866,,-0.3267226358308253,-0.38465292587104866
1,4,25,28,1.05,814.158,0.0,0.0012896759597031534,,,,-4750.088092227767,-6.126074419018368,27,-0.5396624828495982,-0.0005480962412799949,0.001015627839063156,,0.0012896759597031534,0.001015627839063156
1,4,28,31,5.815,814.158,0.0,0.00714234829111794,,,,-6785.840131753944,-48.46683366883232,28,-0.6852354894423135,-0.0036452598263909653,0.005319718377922457,,0.00714234829111794,0.005319718377922457
1,4,31,34,11.955,814.158,0.0,0.014683881998334475,,,,-9330.53018116169,-137.00840416207666,29,-0.864619974998352,-0.008863987402926637,0.010251888296871157,,0.014683881998334475,0.010251888296871157
1,4,34,37,4.815,814.158,0.0,0.005914085472353033,,,,-12440.706908215672,-73.57540399168032,30,-1.5365062297377348,-0.005138986661502789,0.0033445921416016384,,0.005914085472353033,0.0033445921416016384
1,4,32,35,10.533,813.315,0.0,0.012950701757621584,,,,-10301.631376971342,-133.4133555801124,31,-0.912208367453841,-0.008113250850955002,0.008894076332144084,,0.012950701757621584,0.008894076332144084
