2472
1	1 1	1 4	1 2	1 63	-0.2042652862962034
66	1 7	1 10	1 42	1 45	-0.009540270600318496
67	1 7	1 10	1 48	1 51	0.06686358234305667
68	1 7	1 10	1 60	1 63	-0.03463049800752089
69	1 7	1 10	1 46	1 62	0.04110146136543074
70	1 7	1 10	1 71	1 2	-0.6061467927919234
71	1 7	1 10	1 2	1 63	0.721354407186164
72	1 7	1 10	1 63	1 66	-0.05947405126876602
73	1 7	1 10	1 66	1 69	-0.030878446649554987
74	1 7	1 10	1 72	1 3	-0.8877243251906513
75	1 8	1 11	1 4	1 7	-6.068806339429944
76	1 8	1 11	1 7	1 10	9.027242180128905
77	1 8	1 11	1 50	1 47	-0.057326762774764894
78	1 8	1 11	1 3	1 6	-1.7374848636128735
79	1 8	1 11	1 32	1 35	-0.007038203778810736
80	1 8	1 11	1 41	1 44	-0.007431400792945266
81	1 8	1 11	1 34	1 37	-0.0058715049326934655
82	1 8	1 11	1 40	1 43	-0.006733141593898505
83	1 8	1 11	1 46	1 49	0.055358979998739566
84	1 8	1 11	1 36	1 39	-0.007125938238119385
85	1 8	1 11	1 39	1 42	-0.00566844885962569
86	1 8	1 11	1 42	1 45	-0.007122154642307525
87	1 8	1 11	1 48	1 51	0.060038233938480665
88	1 8	1 11	1 47	1 61	0.03230684166259981
89	1 8	1 11	1 1	1 63	0.4383157506723291
90	1 9	1 12	1 25	1 28	-0.0011452674618951482
91	1 9	1 12	1 28	1 31	-0.006163878864148482
92	1 9	1 12	1 26	1 29	-0.0011373197685339061
93	1 9	1 12	1 51	1 48	-0.07854240499898382
94	1 9	1 12	1 15	1 18	-0.9602555614658175
95	1 9	1 12	1 30	1 33	-0.012896186004311487
96	1 9	1 12	1 36	1 39	-0.008893863820066215
97	1 9	1 12	1 39	1 42	-0.005083362870456099
98	1 9	1 12	1 31	1 34	-0.013041506064506993
99	1 9	1 12	1 34	1 37	-0.00822066048599757
100	1 9	1 12	1 40	1 43	-0.005809254399587982
101	1 9	1 12	1 46	1 49	0.07523771431356535
102	1 9	1 12	1 32	1 35	-0.01194942018171306
103	1 9	1 12	1 41	1 44	-0.005981023344673216
104	1 9	1 12	1 47	1 50	0.07649513643134667
105	1 9	1 12	1 48	1 61	0.008573763063691333
106	1 9	1 12	1 1	1 62	0.040434697115331764
107	1 10	1 13	1 7	1 2	1.1609116270698343
108	1 10	1 13	1 17	1 20	-0.913880970842179
109	1 10	1 13	1 30	1 33	-0.019588995718841838
110	1 10	1 13	1 25	1 28	-0.0017937999010747157
111	1 10	1 13	1 28	1 31	-0.009836030194168496
112	1 10	1 13	1 31	1 34	-0.019724213418672615
113	1 10	1 13	1 34	1 37	-0.01139133085460192
114	1 10	1 13	1 40	1 43	-0.005822448021884211
115	1 10	1 13	1 32	1 35	-0.018098926156912006
116	1 10	1 13	1 47	1 50	0.10494213824325052
117	1 10	1 13	1 36	1 39	-0.011450850092607281
118	1 10	1 13	1 39	1 42	-0.005164588880627121
119	1 10	1 13	1 48	1 51	0.10718331973349716
120	1 10	1 13	1 46	1 49	0.10397830593791861
121	1 10	1 13	1 2	1 63	-0.23410451709601296
122	1 11	1 14	1 25	1 28	-0.0025549979270132386
123	1 11	1 14	1 28	1 31	-0.013436829591850618
124	1 11	1 14	1 8	1 3	0.9640634191761325
125	1 11	1 14	1 26	1 29	-0.002664686764593521
126	1 11	1 14	1 32	1 35	-0.02330407637591716
127	1 11	1 14	1 24	1 27	-0.1816434443251309
