a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
99,102,57,60,9.888,628.784,0.0,0.015725590981958828,,,,-25729.643832900132,-404.6138550276669,11676,-0.042142457363518494,-0.0006490389983164254,0.015401071482800614,,0.011100195354404508,0.01110517363538761,0.41843
99,102,60,63,5.118,628.784,0.0,0.00813952008956971,,,,-20583.715066320397,-167.5415623002936,11677,-0.043062804116477275,-0.00034312264753980515,0.007967958765799808,,,,0.50204
99,102,55,58,28.827,629.132,0.0,0.045820273011069224,,,,-29596.59532361917,-1356.124077926365,-18215,-0.014400076445774637,-0.0006646005837314811,0.046152573302934964,,0.03468979965068291,0.03401657924565461,
99,102,58,61,7.766,629.132,0.0,0.01234399140402968,,,,-23929.162176543286,-295.38137221288247,-13689,0.041523598917983975,0.0005021415852157016,0.01209292061142183,,0.008832916442900525,0.008869925173360249,
99,102,61,64,2.32,629.132,0.0,0.0036876204039851734,,,,-19034.56082224999,-70.19223486902587,-18534,0.01932405125227604,7.057784077930127e-05,0.003652331483595523,,,,
99,102,95,63,8.092,628.165,0.0,0.012881965725565736,,,,59.83638100674512,0.7708102092707833,0,,,0.012881965725565736,,0.01533722035473777,0.01533722035473777,-0.45329
99,102,66,69,-0.614,628.165,0.0,-0.0009774501922265647,,,,-12440.706908215672,12.16017135886976,-14110,-0.03158196407955599,-3.136508231191813e-05,-0.0009931327333825238,,-0.001418499231041088,-0.0013857029714808046,
99,102,70,96,-7.241,628.58,0.0,-0.011519615641604886,,,,-38.444808560852685,0.442869418036104,11698,-0.0078556784806906,-9.014033993723879e-05,-0.011474545471636267,,-0.012356693652734799,-0.012183769254014237,0.46355
100,103,75,97,-1159.254,684.957,0.0,-1.692447847091131,,,,-38.69410306474232,65.48775142704548,-11303,0.03168185685160357,0.052783746864224046,-1.666055973659019,,-1.6705104853062853,-1.6527424560081365,
100,103,97,95,1300.392,684.957,0.0,1.898501657768298,,,,68.54383971468641,130.13059332813665,0,,,1.898501657768298,,1.870426257611743,1.870426257611743,0.00608
100,103,73,99,-2397.535,683.202,0.0,-3.5092622679675993,,,,-8.419156491009867,29.54502820201542,-11424,-0.005691779275272629,-0.020030952127405577,-3.519277744031302,,-3.485353886766985,-3.4892175653865065,
100,103,102,105,-61.524,9.043,0.0,-6.8034944155700545,,,,-31.41592653589794,213.7380807469407,-15570,-0.023241039495321202,-0.15997932532764825,-6.883484078233879,,-7.256306760847629,-7.174967470720788,
100,103,80,77,-50.793,682.114,0.0,-0.07446409251239529,,,,4174.827570770416,-310.87474645314677,0,,,-0.07446409251239529,,-0.07292115258813764,-0.07221311950682424,-0.99442
100,103,77,74,-16.5,682.114,0.0,-0.024189504980105962,,,,6053.499977617167,-146.4311678556418,-11140,0.000555512144815133,1.343383246497215e-05,-0.024182788063873476,,-0.023775073351801047,-0.024010654416663883,
100,103,74,98,-1373.336,682.114,0.0,-2.0133526067490184,,,,-21.225455741995557,42.73432664758268,-11353,-0.018438723524350695,-0.03746909319796865,-2.0320871533480025,,-2.003188884799301,-2.017078453083257,
100,103,101,104,81.949,3.446,0.0,23.78090539756239,,,,5.026548245743669,119.53586830831337,-11780,-0.020188644278995655,-0.4849999857981331,24.023405390461456,,24.061843290303216,24.659811964962728,
100,103,117,120,-3512.197,693.085,0.0,-5.067483786259983,,,,-1661.5534478986015,8419.895157230534,11733,-0.023070295366253043,-0.11557517104619563,-5.009696200736885,,,,-2.08406
100,103,55,58,62.365,680.819,0.0,0.0916029076744333,,,,-31667.253948185782,-2900.8125397184954,-18234,-0.015892313789001255,-0.0014674426825361242,0.09233662901570136,,0.06545691956715635,0.06636135662735138,
100,103,50,53,20.771,680.061,0.0,0.03054284836213222,,,,-43476.15166717937,-1327.8855077397216,11754,-0.014040379199073465,-0.00042584366952431313,0.030329926527370064,,,,-0.6011
100,103,53,56,72.472,680.061,0.0,0.10656691090946252,,,,-36093.4089312423,-3846.3630939944974,11755,-0.027181739805206696,-0.002857833599531137,0.10513799410969696,,,,-0.13081
100,103,56,59,30.312,680.061,0.0,0.04457247217529016,,,,-29596.59532361917,-1319.1934215453384,-18287,0.031457552743145906,0.0013804284440531236,0.0438822579532636,,,,
100,103,94,64,14.749,685.198,0.0,0.021525164988806158,,,,117.62122895040186,2.5318163593435434,0,,,0.021525164988806158,,0.0241354149724625,0.0241354149724625,0.34518
100,103,70,96,-15.957,685.198,0.0,-0.023288159043079522,,,,-60.34992956168333,1.4054387578711278,11766,-0.036729595175261094,-0.0008399393380993242,-0.02286818937402986,,-0.023751934190519818,-0.02367170450423954,1.00069
100,103,96,65,15.37,685.198,0.0,0.02243147236273311,,,,59.9042040039344,1.3437394965257805,0,,,0.02243147236273311,,0.024814340092244286,0.024814340092244286,0.67324
101,104,87,84,-16.358,600.98,0.0,-0.027218875836134315,,,,1661.5534478986015,-45.2256169934529,-10471,0.02734349939692977,0.0007342212261827741,-0.026851765223042928,,-0.027211627871782672,-0.02698475847215609,
