a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
93,90,70,96,-51.338,36.996,0.0,-1.3876635311925614,,,,-36.279480016350746,50.34371134931924,10085,0.046566356390906505,0.0661588221904379,-1.4207429422877804,,-1.3805405114110958,-1.4235010486306652,-1.67346
92,89,96,93,-3577.807,567.761,0.0,-6.301607542610359,,,,-9.773843811168247,61.5909278807534,-8260,-0.0022566321886941425,-0.014236473663533644,-6.308725779442126,,-6.8627171211725395,-6.884668550481225,0.32493
92,89,93,90,5385.536,567.761,0.0,9.485568751640216,,,,5.026548245743669,47.67966896843809,-10017,-0.0036422749330331764,-0.03461208265017035,9.5028747929653,,10.305346221605944,10.295535288595701,0.52298
92,89,75,97,-47.313,905.738,0.0,-0.05223696035718939,,,,-71.7217315639684,3.7465252484559963,10093,-0.0008019488711036042,-4.1874580751950774e-05,-0.052216023066813416,,-0.049837252027008234,-0.05110348371685612,-0.40477
92,89,100,103,-3.383,905.738,0.0,-0.003735075706219679,,,,430.04912769140304,-1.6062660493211243,10095,0.05057990547122611,0.00019382151305271256,-0.0038319864627460354,,,,
92,89,94,91,-1789.094,847.8,0.0,-2.110278367539514,,,,-31.41592653589794,66.296350164916,10096,-0.03507285038757489,-0.07273791446508016,-2.0739094103069737,,-2.5062682441664874,-2.5368687005616533,-4.35076
92,89,91,88,7100.535,847.8,0.0,8.37524769992923,,,,5.026548245743669,42.09858663374796,-10167,0.003672417023715742,0.03070102874075964,8.35989718555885,,8.93905506414695,8.97067936357698,0.38911
92,89,88,85,-2570.9,847.8,0.0,-3.0324368954942207,,,,-9.773843811168247,29.63856458378444,-7682,-0.02513455478190137,-0.07718900693413167,-3.0710313989612867,,-3.1172162370060303,-3.1229994111662776,-0.29986
92,89,73,99,-38.878,903.808,0.0,-0.04301577326157768,,,,-119.16772133402996,5.126091681003507,10103,0.03089646958443167,0.0013498889313825549,-0.04369071772726896,,-0.04079798650464,-0.04104437840152195,-0.65288
92,89,102,105,-5.384,903.808,0.0,-0.005957017419628948,,,,726.0569688296413,-4.325134010961166,10105,0.03522317569655084,0.00021358667162963037,-0.006063810755443763,,-0.005680198055474061,-0.00569649764610362,0.00533
92,89,86,83,-369.004,903.259,0.0,-0.4085251295586316,,,,-56.54866776461626,23.101551824907872,-10521,0.0605457342560941,0.02400767284121752,-0.3965212931380228,,,,
92,89,74,98,-35.234,903.259,0.0,-0.039007637897878686,,,,-94.24777960769381,3.6763832596159953,10110,0.06869715970274518,0.002775032350581519,-0.040395154073169445,,-0.041225387981835115,-0.0414329587680847,-0.39214
92,89,101,104,-4.497,903.259,0.0,-0.00497863846360789,,,,565.4866776461627,-2.815353723987022,10112,0.05362187966430992,0.00027431869460353784,-0.005115797810909659,,-0.0048564693859049065,-0.004850285968603107,0.06907
92,89,104,107,-4.286,903.259,0.0,-0.004745039905497758,,,,1130.9733552923267,-5.366513702916784,10113,0.013996092621385231,6.688004768044473e-05,-0.00477847992933798,,-0.004529888818375875,-0.00449868353962272,-0.02632
92,89,107,110,-6.588,903.259,0.0,-0.007293589103457591,,,,1979.203371761568,-14.435496145806695,10114,-0.0865031466947457,-0.0006047615208700126,-0.006991208343022585,,-0.0070683573306520074,-0.00686630093519848,-0.01784
92,89,106,109,-5.678,903.721,0.0,-0.006282912536059248,,,,1661.5534478986015,-10.43939498713459,10117,-0.05342995519511301,-0.00032696098003943096,-0.006119432046039533,,-0.0058720577867382405,-0.005801628329365668,0.02878
92,89,109,112,-6.292,903.721,0.0,-0.006962325762043816,,,,2729.6949501191402,-19.0050254737354,10118,-0.028243774499892044,-0.00019390406744025732,-0.006865373728323687,,-0.0070625487019010755,-0.007041258545526317,-0.01213
92,89,112,115,-10.142,903.721,0.0,-0.011222490126930766,,,,4174.827570770416,-46.85196119460935,10119,0.05831427165120544,0.0006740857475646574,-0.011559533000713095,,-0.011017452287597868,-0.011104327399578798,0.04505
