a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
63,66,113,110,-10.791,779.69,0.0,-0.013840115943516012,,,,36093.4089312423,-499.5369644051298,18664,0.021845845724735975,0.0003056880446461272,-0.013992959965839075,,-0.15184
63,66,107,104,-3.374,779.69,0.0,-0.00432736087419359,,,,23929.162176543286,-103.55012015500654,18666,0.08256280163658408,0.0003726630919342836,-0.004513692420160731,,0.53763
63,66,104,101,-1.317,779.69,0.0,-0.0016891328604958379,,,,19034.56082224999,-32.151902169969134,-11850,0.028219686235901504,4.700358610797866e-05,-0.0016656310674418484,,
63,66,20,17,-10.685,779.69,0.0,-0.013704164475624928,,,,33832.16035235902,-463.6414900344446,-16556,0.0511473812219935,0.0006834536915100668,-0.013362437629869894,,
63,66,118,115,-17.986,779.49,0.0,-0.023074061245173128,,,,48918.08827489884,-1128.7389648518013,18672,-0.07731840884457919,-0.0017176468407185189,-0.02221523782481387,,-0.50622
63,66,115,112,-17.118,779.49,0.0,-0.02196051264288188,,,,40913.31019354928,-898.4772657675871,18673,0.07855638961712332,0.0017956692333242416,-0.022858347259544002,,-0.49212
63,66,112,109,-9.356,779.49,0.0,-0.012002719727000987,,,,33832.16035235902,-406.07793846832027,18674,-0.07135903142992048,-0.0008269956499548231,-0.011589221902023576,,-0.02499
63,66,109,106,-6.377,779.49,0.0,-0.008180990134575171,,,,27618.090083558098,-225.94332250939718,18675,-0.06741226475755419,-0.000533516301835033,-0.007914231983657654,,0.51795
63,66,97,22,-17.109,779.49,0.0,-0.021948966632028635,,,,-1393.3927074919734,30.58353004205336,0,,,-0.021948966632028635,,-0.09967
63,66,18,15,-6.663,779.407,0.0,-0.008548806977612467,,,,38453.09407993839,-328.72807898136597,18682,0.024110433549084972,0.00020863052880825024,-0.008653122242016593,,
63,66,9,6,53.697,779.407,0.0,0.06889468531845365,,,,64465.4812516621,4441.329044735934,-408,0.05238816410427564,0.0035171378821030885,0.0671361163774021,,
63,66,6,3,35.498,779.407,0.0,0.045544882198902494,,,,75209.7281269409,3425.4182077530068,18686,-0.03068282723210107,-0.0013763308903538551,0.044856716753725566,,-0.16026
63,66,3,49,-128.701,779.407,0.0,-0.1651268207752817,,,,-531.9597995248488,87.84083047579449,-17769,0.02568815843024443,0.004188012765444699,-0.16303281439255934,,
63,66,11,8,33.644,779.471,0.0,0.043162606434363815,,,,57903.043264162494,2499.2462677629865,18690,-0.009623403718332415,-0.0004133821157584344,0.0429559153764846,,-0.82077
63,66,5,2,26.404,779.471,0.0,0.03387425574524261,,,,79039.67863751794,2677.4102881890717,18692,0.046773212588553305,0.0016223490026480991,0.03468543024656666,,0.01209
63,66,2,50,-134.251,779.471,0.0,-0.17223347629353755,,,,-460.1503906348894,79.25330139687627,-17828,0.009600684317227168,0.0016456595060472812,-0.1714106465405139,,
63,66,10,7,46.513,779.568,0.0,0.05966509656630339,,,,61125.61919504549,3647.065971947477,18696,-0.008388257012716638,-0.000498395828534802,0.05941589865203599,,-1.02493
63,66,7,4,44.868,779.568,0.0,0.05755495351271474,,,,71505.44132250796,4115.492351223097,18697,-0.017410640263567142,-0.0009934205471081384,0.05705824323916067,,-0.75777
63,66,1,51,-158.366,779.568,0.0,-0.20314584487818896,,,,-394.6166772145517,80.16473829577369,-17902,0.07529971658308839,0.014741797940921397,-0.19577494590772826,,
63,66,70,120,-66.599,66.065,0.0,-1.0080829486112164,,,,-59.18142541136234,59.659785831700916,18700,-0.007304797811220973,-0.007337044303958207,-1.0044144264592374,,-0.06145
63,66,120,62,-216.233,66.065,0.0,-3.2730341330507833,,,,-8.366707495348805,27.384519213528467,0,,,-3.2730341330507833,,-0.41774
63,66,71,119,-48.577,66.065,0.0,-0.7352910012866116,,,,-84.92028229375687,62.441119397318204,18702,0.0014313225239383786,0.0010531923007217614,-0.7358175974369725,,0.10232
63,66,72,118,-48.133,81.394,0.0,-0.5913580853625574,,,,-115.27383450235392,68.16811406371232,18703,-0.05102571128890469,-0.029423782223682693,-0.5766461942507161,,-0.21995
64,67,120,117,-14.209,766.771,0.0,-0.01853095643940629,,,,51801.37219919133,-959.9289717246867,18704,-0.06970381929952649,-0.001248177084136541,-0.01790686789733802,,-0.7322
64,67,117,114,-19.97,766.771,0.0,-0.026044281799911577,,,,43476.15166717937,-1132.3051455957152,-14782,0.007999464935652355,0.00020751033321547013,-0.025940526633303842,,
64,67,114,111,-13.261,766.771,0.0,-0.01729460295185916,,,,36093.4089312423,-624.2211766449229,18706,-0.04761755060088788,-0.0008043754371423011,-0.016892415233288008,,-0.36014
64,67,108,105,-4.175,766.771,0.0,-0.005444911192520322,,,,23929.162176543286,-130.29216296269448,-12135,-0.06682812322323936,-0.0003764519859662356,-0.00563313718550344,,
64,67,105,102,-1.695,766.771,0.0,-0.002210568735645975,,,,19034.56082224999,-42.077205050417575,-11928,-0.026974240467491976,-6.0443623056764036e-05,-0.0022407905471743574,,
64,67,99,24,-15.848,766.771,0.0,-0.02066849163570349,,,,-1420.6488469191017,29.36266880981926,-16063,0.02469413076744022,0.0005041654711809215,-0.02041640890011303,,
64,67,21,18,-7.44,766.771,0.0,-0.009703027370623042,,,,33832.16035235902,-328.27437790624725,18713,0.021029431573735966,0.00020621746821719578,-0.00980613610473164,,
64,67,116,113,-18.574,766.175,0.0,-0.024242503344536172,,,,40913.31019354928,-991.8410592031644,-14855,0.050091355870985586,0.0011846690234141345,-0.023650168832829103,,
